Team	Position	Name
ARZ	LWR	Harrison Jr., Marvin 24/1
ARZ	RWR	Wilson, Michael 23/3
ARZ	SWR	Dortch, Greg SF21
ARZ	TE	McBride, Trey 22/2
ARZ	QB	Murray, Kyler 19/1
ARZ	RB	Conner, James U/Pit
ARZ	PK	PRATER, MATT U/Det
ARZ	DST	Cardinals
ATL	LWR	London, Drake 22/1
ATL	RWR	Mooney, Darnell U/Atl
ATL	SWR	Moore, Rondale T/Arz
ATL	TE	Pitts, Kyle 21/1
ATL	QB	COUSINS, KIRK U/Min
ATL	RB	Robinson, Bijan 23/1
ATL	PK	Koo, Younghoe SF19
ATL	DST	Falcons
BAL	LWR	Flowers, Zay 23/1
BAL	RWR	Bateman, Rashod 21/1
BAL	SWR	AGHOLOR, NELSON U/NE
BAL	TE	Andrews, Mark 18/3
BAL	QB	Jackson, Lamar 18/1
BAL	RB	Henry, Derrick U/Ten
BAL	FB	RICARD, PATRICK CF17
BAL	PK	TUCKER, JUSTIN CF12
BAL	DST	Ravens
BUF	LWR	Coleman, Keon 24/2
BUF	RWR	Samuel, Curtis U/Was
BUF	SWR	Shakir, Khalil 22/5
BUF	TE	Kincaid, Dalton 23/1
BUF	QB	Allen, Josh 18/1
BUF	RB	Cook, James 22/2
BUF	FB	Gilliam, Reggie CF20
BUF	PK	Bass, Tyler 20/6
BUF	DST	Bills
CAR	LWR	Johnson, Diontae T/Pit
CAR	RWR	Legette, Xavier 24/1
CAR	SWR	THIELEN, ADAM CC/Min
CAR	TE	Tremble, Tommy 21/3
CAR	QB	Young, Bryce 23/1
CAR	RB	Hubbard, Chuba 21/4
CAR	PK	Piñeiro, Eddy SF22
CAR	DST	Panthers
CHI	LWR	Moore, DJ T/Car
CHI	RWR	Odunze, Rome 24/1
CHI	SWR	ALLEN, KEENAN T/LAC
CHI	TE	Kmet, Cole 20/2
CHI	QB	Williams, Caleb 24/1
CHI	RB	Swift, D'Andre U/Phi
CHI	FB	Blasingame, Khari U/Ten
CHI	PK	SANTOS, CAIRO SF20
CHI	DST	Bears
CIN	LWR	Chase, Ja'Marr 21/1
CIN	RWR	Higgins, Tee FP
CIN	SWR	Irwin, Trenton SF19
CIN	TE	Gesicki, Mike U/NE
CIN	QB	Burrow, Joe 20/1
CIN	RB	Moss, Zack U/Ind
CIN	PK	McPherson, Evan 21/5
CIN	DST	Bengals
CLE	LWR	Cooper, Amari T/Dal
CLE	RWR	Moore, Elijah T/NYJ
CLE	SWR	Jeudy, Jerry T/Den
CLE	TE	Njoku, David 17/1
CLE	QB	Watson, Deshaun T/Hou
CLE	RB	Chubb, Nick 18/2
CLE	PK	HOPKINS, DUSTIN T/LAC
CLE	DST	Browns
DAL	LWR	Tolbert, Jalen 22/3
DAL	RWR	COOKS, BRANDIN T/Hou
DAL	SWR	Lamb, CeeDee 20/1
DAL	TE	Ferguson, Jake 22/4
DAL	QB	PRESCOTT, DAK 16/4
DAL	RB	Elliott, Ezekiel 16/1
DAL	FB	Luepke, Hunter CF23
DAL	PK	Aubrey, Brandon SF23
DAL	DST	Cowboys
DEN	LWR	Sutton, Courtland 18/2
DEN	RWR	Reynolds, Josh U/Det
DEN	SWR	Mims Jr., Marvin 23/2
DEN	TE	Trautman, Adam T/NO
DEN	QB	Nix, Bo 24/1
DEN	RB	Williams, Javonte 21/2
DEN	FB	BURTON, MICHAEL U/KC
DEN	PK	Lutz, Wil T/NO
DEN	DST	Broncos
DET	LWR	Williams, Jameson 22/1
DET	RWR	Raymond, Kalif U/Ten
DET	SWR	St. Brown, Amon-Ra 21/4
DET	TE	LaPorta, Sam 23/2
DET	QB	Goff, Jared T/LAR
DET	RB	Montgomery, David U/Chi
DET	PK	Badgley, Michael SF23
DET	DST	Lions
GB	LWR	Watson, Christian 22/2
GB	RWR	Doubs, Romeo 22/4
GB	SWR	Reed, Jayden 23/2
GB	TE	Musgrave, Luke 23/2
GB	QB	Love, Jordan 20/1
GB	RB	Jacobs, Josh U/LV
GB	FB	Pearson, Henry CF23
GB	PK	Carlson, Anders 23/6
GB	DST	Packers
HOU	LWR	Collins, Nico 21/3
HOU	RWR	DIGGS, STEFON T/Buf
HOU	SWR	Dell, Tank 23/3
HOU	TE	Schultz, Dalton U/Dal
HOU	QB	Stroud, C.J. 23/1
HOU	RB	Mixon, Joe T/Cin
HOU	FB	Hairston, Troy CF22
HOU	PK	FAIRBAIRN, KA'IMI CF16
HOU	DST	Texans
IND	LWR	Pittman Jr., Michael 20/2
IND	RWR	Mitchell, Adonai 24/2
IND	SWR	Downs, Josh 23/3
