_id|Team|Position|Name
1|ARZ|WR|Harrison Jr.,
2|ARZ|WR|Wilson, Michael
3|ARZ|WR|Dortch, Greg
4|ARZ|TE|Mcbride, Trey
5|ARZ|QB|Murray, Kyler
6|ARZ|RB|Conner, James
7|ARZ|PK|Prater, Matt
8|ARZ|DST|Cardinals
9|ATL|WR|London, Drake
10|ATL|WR|Mooney, Darnell
11|ATL|WR|Moore, Rondale
12|ATL|TE|Pitts, Kyle
13|ATL|QB|Cousins, Kirk
14|ATL|RB|Robinson, Bijan
15|ATL|PK|Koo, Younghoe
16|ATL|DST|Falcons
17|BAL|WR|Flowers, Zay
18|BAL|WR|Bateman, Rashod
19|BAL|WR|Agholor, Nelson
20|BAL|TE|Andrews, Mark
21|BAL|QB|Jackson, Lamar
22|BAL|RB|Henry, Derrick
23|BAL|FB|Ricard, Patrick
24|BAL|PK|Tucker, Justin
25|BAL|DST|Ravens
26|BUF|WR|Coleman, Keon
27|BUF|WR|Samuel, Curtis
28|BUF|WR|Shakir, Khalil
29|BUF|TE|Kincaid, Dalton
30|BUF|QB|Allen, Josh
31|BUF|RB|Cook, James
32|BUF|FB|Gilliam, Reggie
33|BUF|PK|Bass, Tyler
34|BUF|DST|Bills
35|CAR|WR|Johnson, Diontae
36|CAR|WR|Legette, Xavier
37|CAR|WR|Thielen, Adam
38|CAR|TE|Tremble, Tommy
39|CAR|QB|Young, Bryce
40|CAR|RB|Hubbard, Chuba
41|CAR|PK|Piã±eiro, Eddy
42|CAR|DST|Panthers
43|CHI|WR|Moore, Dj
44|CHI|WR|Odunze, Rome
45|CHI|WR|Allen, Keenan
46|CHI|TE|Kmet, Cole
47|CHI|QB|Williams, Caleb
48|CHI|RB|Swift, D'andre
49|CHI|FB|Blasingame, Khari
50|CHI|PK|Santos, Cairo
51|CHI|DST|Bears
52|CIN|WR|Chase, Ja'marr
53|CIN|WR|Higgins, Tee
54|CIN|WR|Irwin, Trenton
55|CIN|TE|Gesicki, Mike
56|CIN|QB|Burrow, Joe
57|CIN|RB|Moss, Zack
58|CIN|PK|Mcpherson, Evan
59|CIN|DST|Bengals
60|CLE|WR|Cooper, Amari
61|CLE|WR|Moore, Elijah
62|CLE|WR|Jeudy, Jerry
63|CLE|TE|Njoku, David
64|CLE|QB|Watson, Deshaun
65|CLE|RB|Chubb, Nick
66|CLE|PK|Hopkins, Dustin
67|CLE|DST|Browns
68|DAL|WR|Tolbert, Jalen
69|DAL|WR|Cooks, Brandin
70|DAL|WR|Lamb, Ceedee
71|DAL|TE|Ferguson, Jake
72|DAL|QB|Prescott, Dak
73|DAL|RB|Elliott, Ezekiel
74|DAL|FB|Luepke, Hunter
75|DAL|PK|Aubrey, Brandon
76|DAL|DST|Cowboys
77|DEN|WR|Sutton, Courtland
78|DEN|WR|Reynolds, Josh
79|DEN|WR|Mims Jr.,
80|DEN|TE|Trautman, Adam
81|DEN|QB|Nix, Bo
82|DEN|RB|Williams, Javonte
83|DEN|FB|Burton, Michael
84|DEN|PK|Lutz, Wil
85|DEN|DST|Broncos
86|DET|WR|Williams, Jameson
87|DET|WR|Raymond, Kalif
88|DET|WR|St. Brown,
89|DET|TE|Laporta, Sam
90|DET|QB|Goff, Jared
91|DET|RB|Montgomery, David
92|DET|PK|Badgley, Michael
93|DET|DST|Lions
94|GB|WR|Watson, Christian
95|GB|WR|Doubs, Romeo
96|GB|WR|Reed, Jayden
97|GB|TE|Musgrave, Luke
98|GB|QB|Love, Jordan
99|GB|RB|Jacobs, Josh
100|GB|FB|Pearson, Henry
101|GB|PK|Carlson, Anders
102|GB|DST|Packers
103|HOU|WR|Collins, Nico
